user_id;game_name;language;has_older_device_model;age
gRu+5x4cGph/Zc4fu9lQ/g==;game 2;uk;false;77
cv6g2/jSkR+FwO58WY85DQ==;game 3;uk;false;20
B/HTBVkRCa31CrPz7CnAXg==;game 2;uk;false;44
Bo8DUqTZ0pXd1aGSa7UXsA==;game 3;ru;true;21
gS/Cx7N39XR/3F/llCguOg==;game 3;uk;false;22
W5hGqtMS2sKusfC1qSsUGg==;game 3;ru;false;23
focaQdrvZZgHkhzhzAEM6A==;game 3;uk;false;28
qlqY+z8pa6P/3HaXEoxZfw==;game 3;uk;false;17
k/nhKJhv38dhr/xVZhOfUA==;game 1;uk;false;48
TsuNitVMrP5LbUH7TxLq3g==;game 3;uk;false;17
cOCixiBbcAHemYgbNdoTcw==;game 3;uk;false;20
yef0h38QWUF2s1yhNoLN5A==;game 2;uk;false;64
61luqaUv0WYT7eBfZoRBMw==;game 3;ru;false;33
CPS7TtWW0CWoloyLys75lA==;game 3;ru;false;24
RuB1M9W3vR5+Ae/vkNEgBA==;game 3;uk;false;33
MnsydCComQD8hbQSMbQQSw==;game 2;uk;false;37
GjL6ipu28pHPFxZJPuplNQ==;game 3;uk;false;28
9qeOGZMFKBEJIb3C62doNQ==;game 3;uk;false;26
iuaYDwqe0cTanajotPtqaA==;game 3;uk;false;30
f9cWBjiN4c8lXAkBhdqK6Q==;game 3;uk;false;21
yxF0Ov7MlG2cgalXJPouVg==;game 3;ru;false;28
WJs06JVyjGn4xDrln1aQkA==;game 3;uk;false;27
3KaEVIJy4kJmmGJBjAwAHw==;game 2;uk;false;49
q95JPEWiGYihEoKsqmhj2g==;game 2;ru;false;23
nCdWqXCaJh8l8bYxHdZkvA==;game 3;uk;true;32
LopSUC1DPnQWLLHDX64y5Q==;game 3;uk;false;19
7QutRfGpjS2keXjEj5Kduw==;game 1;uk;false;25
o2A4cDZcYdEBO5SRcn27FQ==;game 3;ru;true;17
7iS0Md8Z5SFpqNAYOVcs4w==;game 3;uk;false;18
b3TBQFxyCxxypmPajF+jXw==;game 3;uk;true;15
Un1/H6r21erNyc5CnoFJiw==;game 3;uk;true;25
Qn1wKE8gz9pPz7Td+EYEwQ==;game 3;ru;false;21
1mkyKgPSRoWKvFQZcM5I4Q==;game 3;uk;false;42
hvvcK5gx+FdZE6DZA3df+Q==;game 3;uk;false;29
6/6nfTTS+TnD7Fv3yYpq/A==;game 2;uk;false;40
LVdt0dyGoRDCG2IsZ+2pRg==;game 3;uk;false;14
GjqlfdI+312ofve9g5LuOA==;game 3;ru;false;18
q0Ngw0yo5es+zgillxirsQ==;game 2;uk;false;51
T/blzahdDFcjsBv0XOU6iQ==;game 2;uk;false;53
9OfDeEZnkwGPvN0CK44xfg==;game 3;en;false;24
TMdSnXILB43CZyIqDe4n4g==;game 3;uk;false;21
i6+JpEanvW/N6t6cuVGdbQ==;game 3;uk;false;40
v5yYLXRps/Ta35U/sFSj/A==;game 3;uk;true;24
+uszcWROLhovU7doCmFOiQ==;game 2;uk;false;18
kpNbO7jp8Lk02aT1WUmNnw==;game 3;ru;false;21
an5Xsrpir8vvhTb50gnppQ==;game 3;uk;false;43
DAMO0tILVRlXZhYONdvs0Q==;game 3;uk;false;15
DHUdv0c5w36OE+CMqSJEqQ==;game 3;uk;false;42
knqMONoWjT0CshPuxE+UAw==;game 3;en;false;29
4zq740IIybyKHSnebcyttw==;game 3;uk;false;17
+FlWYpRLVaIer+ema+GcQw==;game 3;uk;true;37
zfPlIYKZsQnLqgb+W91D6A==;game 3;ru;false;17
lGI5+OCzV6nnDMpyZWtZAg==;game 3;ru;false;18
BIdts4CM6OaFxciAr0912A==;game 3;uk;false;18
E4QJHJmtSWCubCEWe4HuDA==;game 2;uk;false;83
au5bHz5awMk4UJg0m3Yylg==;game 3;ru;false;39
3Xuq0acIoGEgw19qflIoog==;game 3;uk;false;25
Wg7a8gy73uJu8OS1THulHQ==;game 3;uk;false;26
3bmKEnlPRemmh81isOO61g==;game 1;uk;false;24
e8vUPR5V4ahKI1RdrIX7/A==;game 3;uk;false;31
eqUt3cIugkCdIxGLA1dd0Q==;game 2;uk;false;41
AzXztfif3xBC3ZaCp81EaA==;game 3;uk;true;31
OX/jdDs3SZxwaLAii9yMNA==;game 3;uk;false;14
mzGpnrpyuOB+qfwTJ0XliQ==;game 3;ru;false;16
DMKxhCOY6XWpCzzQpCa/4A==;game 2;uk;false;29
D6jmh6gGbjWeUdSNK497bg==;game 2;uk;false;51
sCKPcG1GIuOo593nRuu1Cw==;game 3;uk;false;25
vNdnUOrRDEwY/WFRfSXrew==;game 3;uk;false;34
ITgi4Gl2o9XpJltzUqXO+A==;game 1;uk;false;34
Q1Vry/HE1GfsfQy11/UzQg==;game 1;uk;false;40
RTrEsxVF25YBuWzQVibOaw==;game 3;ru;false;22
czQbkX2k7RFAAPggWjDjag==;game 3;uk;false;15
XKcDk3Dj0n2i6XqA+weFuw==;game 3;uk;false;35
ux4Q9iTbOyaU1c/0SKvF7w==;game 3;uk;false;26
I6+7dmw5BDyaJGQL/8ixCg==;game 3;uk;false;32
/01yWwbD6V3F7maO9jbRLA==;game 3;uk;false;23
i/58OgkvFqUbVF52ZBJkZA==;game 2;ru;false;28
DfDrLrabGaDp9n2z78GgXA==;game 3;uk;false;30
pM5w/XVBs8WAVmO/HqjlSQ==;game 2;uk;false;36
C4JaGN3GYi0O1lbTK6SS2A==;game 2;uk;false;54
BcbQ3o06UYg2YT4n53K6dA==;game 3;en;false;24
tukg0unLWSV0iifY2PupSg==;game 3;ru;false;40
nmlUQvliLdawDvpS730T8w==;game 1;uk;false;40
pMR/27MGDQI8VzhR0vcppg==;game 3;uk;false;37
1tIsLi6U0zW1RIuaViNanA==;game 3;uk;false;20
8v9lZmLvb+rkeZa2Qaerlw==;game 3;ru;false;43
fxVpVfQYdYSNmi0L7fSLEQ==;game 3;uk;false;17
SXF4nkTSizdHSgQVJ65JcQ==;game 2;uk;true;42
