"user_id,""activity_date"",""game_activity_name"",""total_seconds"""
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-10"",game 2: Battle pass challenges,40"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-12"",game 2: Battle pass challenges,235"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-20"",game 2: Battle pass challenges,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-29"",game 2: Battle pass challenges,328"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-14"",game 2: Battle pass challenges,212"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-22"",game 2: Battle pass challenges,698"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-15"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-13"",game 2: Campaign,6"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-13"",game 2: Campaign,649"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-22"",game 2: Campaign,9"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-31"",game 2: Campaign,532"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-20"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-01"",game 2: Campaign,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-03"",game 2: Campaign,45"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-13"",game 2: Campaign,7"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-15"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-20"",game 2: Campaign,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-25"",game 2: Campaign,989"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-08"",game 2: Special events and challenges,10"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-17"",game 2: Special events and challenges,3071"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-31"",game 2: Special events and challenges,11"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-10"",game 2: Special events and challenges,22"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-13"",game 2: Special events and challenges,352"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-20"",game 2: Special events and challenges,4"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-22"",game 2: Mini-games,504"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-11"",game 2: Mini-games,103"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-14"",game 2: Mini-games,12"
