"user_id","game_name","first_month","last_month","payment_month","active_in_month","isnewuser","ischurned","isbackfromchurn","revenue","mrr","mrr_expansion","mrr_contraction","new_mrr","churn_revenue","back_from_churn_rev","language","age","has_older_device_model"
MAkig8NeMsTs73r6K0uDpA==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,1,0,0,14.55,0,0,0,14.55,0,0,uk,20,false
MAkig8NeMsTs73r6K0uDpA==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,0,0,48.27,48.27,33.72,0,0,0,0,uk,20,false
MAkig8NeMsTs73r6K0uDpA==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,0,0,0,45.72,45.72,0,-2.55,0,0,0,uk,20,false
MAkig8NeMsTs73r6K0uDpA==,game 3,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,18.0,18.0,0,-27.72,0,-18.0,0,uk,20,false
mcbWtEz8ADI9GXCi1lfaSA==,game 3,2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,1,1,1,0,16.05,0,0,0,16.05,-16.05,0,uk,17,true
mEqQ5vHXzsdrqHAQT3zs+g==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-11-01 00:00:00.000 +0200,1,1,0,0,12.54,0,0,0,12.54,0,0,uk,25,true
mEqQ5vHXzsdrqHAQT3zs+g==,game 3,2022-11-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,2022-12-01 00:00:00.000 +0200,1,0,1,0,14.88,14.88,2.34,0,0,-14.88,0,uk,25,true
mEtO8F+CRPGmaJ8SHa7BbA==,game 3,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-08-01 00:00:00.000 +0300,1,1,0,0,26.70,0,0,0,26.70,0,0,uk,32,false
mEtO8F+CRPGmaJ8SHa7BbA==,game 3,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-09-01 00:00:00.000 +0300,1,0,0,0,27.12,27.12,0.42,0,0,0,0,uk,32,false
mEtO8F+CRPGmaJ8SHa7BbA==,game 3,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-10-01 00:00:00.000 +0300,1,0,0,0,31.17,31.17,4.05,0,0,0,0,uk,32,false
